Release date ;Title ;Composer ;Producer ;Writer ;Director ;Role;Notes
11-Apr-15;The Tramp ;;;Yes ;Yes ;The Tramp ;
29-Apr-15;By the Sea ;;;Yes ;Yes ;Stroller ;One reel
21-Jun-15;Work ;;;Yes ;Yes ;Decorator's Apprentice ;
12-Jul-15;A Woman ;;;Yes ;Yes ;"Charlie / ""The Woman"" ";
09-Aug-15;The Bank ;;;Yes ;Yes ;Janitor ;
04-Oct-15;Shanghaied ;;;Yes ;Yes ;Charlie ;
20-Nov-15;A Night in the Show ;;;Yes ;Yes ;Mr. Pest and Mr. Rowdy ;
18-Dec-15;Burlesque on 'Carmen' ;;;Yes ;Yes ;Darn Hosiery ;Re-issued on 22 April 1916, as an unauthorised four-reeler with new footage shot and assembled by Leo White
27-May-16;Police ;;;Yes ;Yes ;Ex-Convict ;
11-Aug-18;Triple Trouble ;;;Yes ;Yes ;Janitor ;Compilation assembled by Leo White with scenes from Police and an unfinished short, Life, along with new material shot by White. Chaplin includes this production in the filmography of his autobiography.
15-May-16;The Floorwalker ;;Yes ;Yes ;Yes ;Impecunious Customer ;Co-writer: Vincent Bryan
12-Jun-16;The Fireman ;;Yes ;Yes ;Yes ;Fireman ;Co-writer: Vincent Bryan
10-Jul-16;The Vagabond ;;Yes ;Yes ;Yes ;Street Musician ;Co-writer: Vincent Bryan
07-Aug-16;One A.M. ;;Yes ;Yes ;Yes ;Drunk ;
04-Sep-16;The Count ;;Yes ;Yes ;Yes ;Tailor's Apprentice ;
02-Oct-16;The Pawnshop ;;Yes ;Yes ;Yes ;Pawnbroker's Assistant ;
13-Nov-16;Behind the Screen ;;Yes ;Yes ;Yes ;Property Man's Assistant ;
04-Dec-16;The Rink ;;Yes ;Yes ;Yes ;Waiter and Skating Enthusiast ;
22-Jan-17;Easy Street ;;Yes ;Yes ;Yes ;Vagabond recruited to Police Force ;
16-Apr-17;The Cure ;;Yes ;Yes ;Yes ;Alcoholic Gentleman at Spa ;
17-Jun-17;The Immigrant ;;Yes ;Yes ;Yes ;Immigrant ;Added to the National Film Registry in 1998[14]
22-Oct-17;The Adventurer ;;Yes ;Yes ;Yes ;Escaped Convict ;
14-Apr-18;A Dog's Life ;Yes ;Yes ;Yes ;Yes ;Tramp ;Three reels
29-Sep-18;The Bond ;;Yes ;Yes ;Yes ;Tramp ;Half-reel. Co stars brother Sydney Chaplin
20-Oct-18;Shoulder Arms ;Yes ;Yes ;Yes ;Yes ;Recruit ;Three reels
15-May-19;Sunnyside ;Yes ;Yes ;Yes ;Yes ;Farm Handyman ;Three reels
15-Dec-19;A Day's Pleasure ;Yes ;Yes ;Yes ;Yes ;Father ;"Two reels. First film with Jackie Coogan, future star of ""The Kid"""
06-Feb-21;The Kid ;Yes ;Yes ;Yes ;Yes ;Tramp ;Six reels
25-Sep-21;The Idle Class ;Yes ;Yes ;Yes ;Yes ;Tramp / Husband ;Two reels
02-Apr-22;Pay Day ;Yes ;Yes ;Yes ;Yes ;Laborer ;Two reels
26-Feb-23;The Pilgrim ;Yes ;Yes ;Yes ;Yes ;Escaped Convict ;Four reels
26-Sep-23;A Woman of Paris ;Yes ;Yes ;Yes ;Yes ;Porter ;Chaplin has a small cameo role
26-Jun-25;The Gold Rush ;Yes ;Yes ;Yes ;Yes ;Lone Prospector ;Score composed for 1942 re-issue
06-Jan-28;The Circus ;Yes ;Yes ;Yes ;Yes ;Tramp ;Score composed for 1970 re-issue Selected in the National Film Registry in 2002
30-Jan-31;City Lights ;Yes ;Yes ;Yes ;Yes ;Tramp ;Added to the National Film Registry in 1991[17]
05-Feb-36;Modern Times ;Yes ;Yes ;Yes ;Yes ;A factory worker ;Added to the National Film Registry in 1989[18]
15-Oct-40;The Great Dictator ;Yes ;Yes ;Yes ;Yes ;Adenoid Hynkel / The Barber ;Added to the National Film Registry in 1997[19]
11-Apr-47;Monsieur Verdoux ;Yes ;Yes ;Yes ;Yes ;Monsieur Henri Verdoux ;Based on an idea by Orson Welles[20]
12-Sep-57;A King in New York ;Yes ;Yes ;Yes ;Yes ;King Shahdov ;Last starring role. An Attica-Archway production
05-Jan-67;A Countess from Hong Kong ;Yes ;;Yes ;Yes ;An Old Steward ;A Universal Production in Panavision and Technicolor
